id,item_name,category,quantity,supplier,batch_number,price_per_unit,lead_time_days,average_daily_demand,std_dev_demand
1,Syringes 5ml,Consumables,5000,SuppCo,CONS001,0.1,180,27.78,5.56
2,Surgical Gloves,Consumables,10000,HealthInc,CONS002,0.15,180,55.56,11.11
3,Bandages,Disposables,3000,BioMed,CONS003,0.2,180,16.67,3.33
4,IV Catheters,Consumables,2000,PharmaCorp,CONS004,0.5,180,11.11,2.22
5,Face Masks,Consumables,15000,AfriPharma,CONS005,0.05,180,83.33,16.67
6,Surgical Gowns,Disposables,5000,MediSupply,CONS006,1.2,180,27.78,5.56
7,Needles 18G,Consumables,8000,AfroMed,CONS007,0.08,180,44.44,8.89
8,Sterile Drapes,Disposables,4000,HealthLink,CONS008,0.3,180,22.22,4.44
9,Cotton Swabs,Consumables,20000,PharmaGlobal,CONS009,0.02,180,111.11,22.22
10,Alcohol Pads,Consumables,10000,BioHealth,CONS010,0.03,180,55.56,11.11
11,Scalpels,Disposables,3000,MediCorp,CONS011,0.25,180,16.67,3.33
12,Sutures,Consumables,2000,AfriHealth,CONS012,0.4,180,11.11,2.22
13,Gauze Pads,Disposables,6000,GlobalPharma,CONS013,0.1,180,33.33,6.67
14,IV Bags,Consumables,4000,HealthSolutions,CONS014,0.6,180,22.22,4.44
15,Blood Pressure Cuffs,Disposables,1000,PharmaSolutions,CONS015,2.5,180,5.56,1.11
16,Thermometers,Consumables,5000,MediSolutions,CONS016,1,180,27.78,5.56
17,Stethoscopes,Disposables,2000,AfroSolutions,CONS017,3,180,11.11,2.22
18,Pulse Oximeters,Consumables,1500,GlobalSolutions,CONS018,5,180,8.33,1.67
19,ECG Electrodes,Disposables,10000,BioHealthSolutions,CONS019,0.1,180,55.56,11.11
20,Defibrillator Pads,Consumables,3000,HealthPharma,CONS020,4,180,16.67,3.33
21,Oxygen Masks,Disposables,4000,PharmaBio,CONS021,0.8,180,22.22,4.44
22,Nebulizers,Consumables,2000,MediBio,CONS022,2.5,180,11.11,2.22
23,Urine Bags,Disposables,5000,BioPharma,CONS023,0.4,180,27.78,5.56
24,Foley Catheters,Consumables,3000,HealthMedi,CONS024,0.7,180,16.67,3.33
25,Endotracheal Tubes,Disposables,2000,PharmaMedi,CONS025,1.5,180,11.11,2.22
26,Laryngoscopes,Consumables,1000,MediPharma,CONS026,3.5,180,5.56,1.11
27,Suction Catheters,Disposables,4000,BioMedi,CONS027,0.5,180,22.22,4.44
28,Tracheostomy Tubes,Consumables,1500,HealthGlobal,CONS028,2,180,8.33,1.67
29,Ventilator Circuits,Disposables,1000,PharmaHealth,CONS029,5.5,180,5.56,1.11
30,Anesthesia Masks,Consumables,2000,MediHealth,CONS030,1.2,180,11.11,2.22
31,Spinal Needles,Disposables,3000,AfroHealth,CONS031,0.9,180,16.67,3.33
32,Epidural Kits,Consumables,1000,GlobalHealth,CONS032,4,180,5.56,1.11
33,Bone Marrow Needles,Disposables,500,BioSolutions,CONS033,3,180,2.78,0.56
34,Biopsy Guns,Consumables,800,HealthBio,CONS034,6,180,4.44,0.89
35,Drainage Bags,Disposables,2000,PharmaHealthGlobal,CONS035,0.6,180,11.11,2.22
36,Colostomy Bags,Consumables,1500,MediHealthGlobal,CONS036,1,180,8.33,1.67
37,Wound Dressings,Disposables,5000,BioHealthGlobal,CONS037,0.3,180,27.78,5.56
38,Hemostatic Agents,Consumables,1000,HealthGlobalHealth,CONS038,2.5,180,5.56,1.11
39,Surgical Tapes,Disposables,10000,PharmaBio,CONS039,0.2,180,55.56,11.11
40,Antiseptic Wipes,Consumables,20000,MediBio,CONS040,0.04,180,111.11,22.22
41,IV Stands,Disposables,500,BioPharma,CONS041,10,180,2.78,0.56
42,Syringe Pumps,Consumables,300,HealthMedi,CONS042,50,180,1.67,0.33
43,Infusion Pumps,Disposables,200,PharmaMedi,CONS043,60,180,1.11,0.22
44,Patient Monitors,Consumables,100,MediPharma,CONS044,200,180,0.56,0.11
45,ECG Machines,Disposables,50,BioMedi,CONS045,300,180,0.28,0.06
46,Ultrasound Probes,Consumables,80,HealthGlobal,CONS046,150,180,0.44,0.09
47,X-Ray Films,Disposables,1000,PharmaHealth,CONS047,0.5,180,5.56,1.11
48,CT Scan Contrast,Consumables,500,MediHealth,CONS048,5,180,2.78,0.56
49,MRI Contrast,Disposables,300,AfroHealth,CONS049,6,180,1.67,0.33
50,Laboratory Reagents,Consumables,2000,GlobalHealth,CONS050,1,180,11.11,2.22
